Name	Description	Company	Type no	no of channels
SVC HR-1024	Spectra Vista HR-1024	Spectra Vista	1024	1024
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
840	2069.4	6.5
841	2072	6.5
842	2074.6	6.5
843	2077.2	6.5
844	2079.8	6.5
845	2082.4	6.5
846	2085	6.5
847	2087.6	6.5
848	2090.2	6.5
849	2092.8	6.5
850	2095.4	6.5
851	2098	6.5
852	2100.6	6.5
853	2103.2	6.5
854	2105.8	6.5
855	2108.3	6.5
856	2110.9	6.5
857	2113.5	6.5
858	2116.1	6.5
859	2118.7	6.5
860	2121.2	6.5
861	2123.8	6.5
862	2126.3	6.5
863	2128.9	6.5
864	2131.4	6.5
865	2134	6.5
866	2136.6	6.5
867	2139.1	6.5
868	2141.7	6.5
869	2144.2	6.5
870	2146.7	6.5
871	2149.3	6.5
872	2151.8	6.5
873	2154.3	6.5
874	2156.9	6.5
875	2159.4	6.5
876	2161.9	6.5
877	2164.4	6.5
878	2167	6.5
879	2169.5	6.5
880	2172	6.5
881	2174.5	6.5
882	2177	6.5
883	2179.5	6.5
884	2182	6.5
885	2184.5	6.5
886	2187	6.5
887	2189.5	6.5
888	2192	6.5
889	2194.5	6.5
890	2197	6.5
891	2199.5	6.5
892	2201.9	6.5
893	2204.4	6.5
894	2206.9	6.5
895	2209.4	6.5
896	2211.8	6.5
897	2214.3	6.5
898	2216.8	6.5
899	2219.2	6.5
900	2221.7	6.5
901	2224.2	6.5
902	2226.6	6.5
903	2229.1	6.5
904	2231.5	6.5
905	2234	6.5
906	2236.4	6.5
907	2238.9	6.5
908	2241.3	6.5
909	2243.7	6.5
910	2246.2	6.5
911	2248.6	6.5
912	2251	6.5
913	2253.4	6.5
914	2255.9	6.5
915	2258.3	6.5
916	2260.7	6.5
917	2263.1	6.5
918	2265.5	6.5
919	2267.9	6.5
920	2270.4	6.5
921	2272.8	6.5
922	2275.2	6.5
923	2277.6	6.5
924	2280	6.5
925	2282.4	6.5
926	2284.8	6.5
927	2287.1	6.5
928	2289.5	6.5
929	2291.9	6.5
930	2294.3	6.5
931	2296.7	6.5
932	2299	6.5
933	2301.4	6.5
934	2303.8	6.5
935	2306.2	6.5
936	2308.5	6.5
937	2310.9	6.5
938	2313.2	6.5
939	2315.6	6.5
940	2317.9	6.5
941	2320.3	6.5
942	2322.7	6.5
943	2325	6.5
944	2327.3	6.5
945	2329.7	6.5
946	2332	6.5
947	2334.3	6.5
948	2336.7	6.5
949	2339	6.5
950	2341.3	6.5
951	2343.7	6.5
952	2346	6.5
953	2348.3	6.5
954	2350.6	6.5
955	2352.9	6.5
956	2355.2	6.5
957	2357.6	6.5
958	2359.9	6.5
959	2362.2	6.5
960	2364.5	6.5
961	2366.8	6.5
962	2369.1	6.5
963	2371.4	6.5
964	2373.7	6.5
965	2375.9	6.5
966	2378.2	6.5
967	2380.5	6.5
968	2382.8	6.5
969	2385.1	6.5
970	2387.3	6.5
971	2389.6	6.5
972	2391.9	6.5
973	2394.1	6.5
974	2396.4	6.5
975	2398.7	6.5
976	2400.9	6.5
977	2403.2	6.5
978	2405.4	6.5
979	2407.7	6.5
980	2409.9	6.5
981	2412.2	6.5
982	2414.4	6.5
983	2416.7	6.5
984	2418.9	6.5
985	2421.1	6.5
986	2423.3	6.5
987	2425.6	6.5
988	2427.8	6.5
989	2430	6.5
990	2432.2	6.5
991	2434.5	6.5
992	2436.7	6.5
993	2438.9	6.5
994	2441.1	6.5
995	2443.3	6.5
996	2445.5	6.5
997	2447.7	6.5
998	2449.9	6.5
999	2452.1	6.5
1000	2454.3	6.5
1001	2456.5	6.5
1002	2458.7	6.5
1003	2460.9	6.5
1004	2463.1	6.5
1005	2465.2	6.5
1006	2467.4	6.5
1007	2469.6	6.5
1008	2471.8	6.5
1009	2473.9	6.5
1010	2476.1	6.5
1011	2478.3	6.5
1012	2480.4	6.5
1013	2482.6	6.5
1014	2484.8	6.5
1015	2486.9	6.5
1016	2489.1	6.5
1017	2491.2	6.5
1018	2493.4	6.5
1019	2495.5	6.5
1020	2497.6	6.5
1021	2499.8	6.5
1022	2501.9	6.5
1023	2504.1	6.5
1024	2506.2	6.5
