Name	Description	Company	Type no	no of channels
APOGEE PAR-NIR	APOGEE PAR-NIR	APOGEE	100	1100
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
846	822.5	0.5
847	823	0.5
848	823.5	0.5
849	824	0.5
850	824.5	0.5
851	825	0.5
852	825.5	0.5
853	826	0.5
854	826.5	0.5
855	827	0.5
856	827.5	0.5
857	828	0.5
858	828.5	0.5
859	829	0.5
860	829.5	0.5
861	830	0.5
862	830.5	0.5
863	831	0.5
864	831.5	0.5
865	832	0.5
866	832.5	0.5
867	833	0.5
868	833.5	0.5
869	834	0.5
870	834.5	0.5
871	835	0.5
872	835.5	0.5
873	836	0.5
874	836.5	0.5
875	837	0.5
876	837.5	0.5
877	838	0.5
878	838.5	0.5
879	839	0.5
880	839.5	0.5
881	840	0.5
882	840.5	0.5
883	841	0.5
884	841.5	0.5
885	842	0.5
886	842.5	0.5
887	843	0.5
888	843.5	0.5
889	844	0.5
890	844.5	0.5
891	845	0.5
892	845.5	0.5
893	846	0.5
894	846.5	0.5
895	847	0.5
896	847.5	0.5
897	848	0.5
898	848.5	0.5
899	849	0.5
900	849.5	0.5
901	850	0.5
902	850.5	0.5
903	851	0.5
904	851.5	0.5
905	852	0.5
906	852.5	0.5
907	853	0.5
908	853.5	0.5
909	854	0.5
910	854.5	0.5
911	855	0.5
912	855.5	0.5
913	856	0.5
914	856.5	0.5
915	857	0.5
916	857.5	0.5
917	858	0.5
918	858.5	0.5
919	859	0.5
920	859.5	0.5
921	860	0.5
922	860.5	0.5
923	861	0.5
924	861.5	0.5
925	862	0.5
926	862.5	0.5
927	863	0.5
928	863.5	0.5
929	864	0.5
930	864.5	0.5
931	865	0.5
932	865.5	0.5
933	866	0.5
934	866.5	0.5
935	867	0.5
936	867.5	0.5
937	868	0.5
938	868.5	0.5
939	869	0.5
940	869.5	0.5
941	870	0.5
942	870.5	0.5
943	871	0.5
944	871.5	0.5
945	872	0.5
946	872.5	0.5
947	873	0.5
948	873.5	0.5
949	874	0.5
950	874.5	0.5
951	875	0.5
952	875.5	0.5
953	876	0.5
954	876.5	0.5
955	877	0.5
956	877.5	0.5
957	878	0.5
958	878.5	0.5
959	879	0.5
960	879.5	0.5
961	880	0.5
962	880.5	0.5
963	881	0.5
964	881.5	0.5
965	882	0.5
966	882.5	0.5
967	883	0.5
968	883.5	0.5
969	884	0.5
970	884.5	0.5
971	885	0.5
972	885.5	0.5
973	886	0.5
974	886.5	0.5
975	887	0.5
976	887.5	0.5
977	888	0.5
978	888.5	0.5
979	889	0.5
980	889.5	0.5
981	890	0.5
982	890.5	0.5
983	891	0.5
984	891.5	0.5
985	892	0.5
986	892.5	0.5
987	893	0.5
988	893.5	0.5
989	894	0.5
990	894.5	0.5
991	895	0.5
992	895.5	0.5
993	896	0.5
994	896.5	0.5
995	897	0.5
996	897.5	0.5
997	898	0.5
998	898.5	0.5
999	899	0.5
1000	899.5	0.5
1001	900	0.5
1002	900.5	0.5
1003	901	0.5
1004	901.5	0.5
1005	902	0.5
1006	902.5	0.5
1007	903	0.5
1008	903.5	0.5
1009	904	0.5
1010	904.5	0.5
1011	905	0.5
1012	905.5	0.5
