Name	Description	Company	Type no	no of channels
OOHR_NIR	Ocean Optics High Resolution NIR	OceanOptics	4	4400
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
811	733.2	0.5
812	733.22	0.5
813	733.24	0.5
814	733.26	0.5
815	733.28	0.5
816	733.3	0.5
817	733.32	0.5
818	733.34	0.5
819	733.36	0.5
820	733.38	0.5
821	733.4	0.5
822	733.42	0.5
823	733.44	0.5
824	733.46	0.5
825	733.48	0.5
826	733.5	0.5
827	733.52	0.5
828	733.54	0.5
829	733.56	0.5
830	733.58	0.5
831	733.6	0.5
832	733.62	0.5
833	733.64	0.5
834	733.66	0.5
835	733.68	0.5
836	733.7	0.5
837	733.72	0.5
838	733.74	0.5
839	733.76	0.5
840	733.78	0.5
841	733.8	0.5
842	733.82	0.5
843	733.84	0.5
844	733.86	0.5
845	733.88	0.5
846	733.9	0.5
847	733.92	0.5
848	733.94	0.5
849	733.96	0.5
850	733.98	0.5
851	734	0.5
852	734.02	0.5
853	734.04	0.5
854	734.06	0.5
855	734.08	0.5
856	734.1	0.5
857	734.12	0.5
858	734.14	0.5
859	734.16	0.5
860	734.18	0.5
861	734.2	0.5
862	734.22	0.5
863	734.24	0.5
864	734.26	0.5
865	734.28	0.5
866	734.3	0.5
867	734.32	0.5
868	734.34	0.5
869	734.36	0.5
870	734.38	0.5
871	734.4	0.5
872	734.42	0.5
873	734.44	0.5
874	734.46	0.5
875	734.48	0.5
876	734.5	0.5
877	734.52	0.5
878	734.54	0.5
879	734.56	0.5
880	734.58	0.5
881	734.6	0.5
882	734.62	0.5
883	734.64	0.5
884	734.66	0.5
885	734.68	0.5
886	734.7	0.5
887	734.72	0.5
888	734.74	0.5
889	734.76	0.5
890	734.78	0.5
891	734.8	0.5
892	734.82	0.5
893	734.84	0.5
894	734.86	0.5
895	734.88	0.5
896	734.9	0.5
897	734.92	0.5
898	734.94	0.5
899	734.96	0.5
900	734.98	0.5
901	735	0.5
902	735.02	0.5
903	735.04	0.5
904	735.06	0.5
905	735.08	0.5
906	735.1	0.5
907	735.12	0.5
908	735.14	0.5
909	735.16	0.5
910	735.18	0.5
911	735.2	0.5
912	735.22	0.5
913	735.24	0.5
914	735.26	0.5
915	735.28	0.5
916	735.3	0.5
917	735.32	0.5
918	735.34	0.5
919	735.36	0.5
920	735.38	0.5
921	735.4	0.5
922	735.42	0.5
923	735.44	0.5
924	735.46	0.5
925	735.48	0.5
926	735.5	0.5
927	735.52	0.5
928	735.54	0.5
929	735.56	0.5
930	735.58	0.5
931	735.6	0.5
932	735.62	0.5
933	735.64	0.5
934	735.66	0.5
935	735.68	0.5
936	735.7	0.5
937	735.72	0.5
938	735.74	0.5
939	735.76	0.5
940	735.78	0.5
941	735.8	0.5
942	735.82	0.5
943	735.84	0.5
944	735.86	0.5
945	735.88	0.5
946	735.9	0.5
947	735.92	0.5
948	735.94	0.5
949	735.96	0.5
950	735.98	0.5
951	736	0.5
952	736.02	0.5
953	736.04	0.5
954	736.06	0.5
955	736.08	0.5
956	736.1	0.5
957	736.12	0.5
958	736.14	0.5
959	736.16	0.5
960	736.18	0.5
961	736.2	0.5
962	736.22	0.5
963	736.24	0.5
964	736.26	0.5
965	736.28	0.5
966	736.3	0.5
967	736.32	0.5
968	736.34	0.5
969	736.36	0.5
970	736.38	0.5
971	736.4	0.5
972	736.42	0.5
973	736.44	0.5
974	736.46	0.5
975	736.48	0.5
976	736.5	0.5
977	736.52	0.5
978	736.54	0.5
979	736.56	0.5
980	736.58	0.5
981	736.6	0.5
982	736.62	0.5
983	736.64	0.5
984	736.66	0.5
985	736.68	0.5
986	736.7	0.5
987	736.72	0.5
988	736.74	0.5
989	736.76	0.5
990	736.78	0.5
991	736.8	0.5
992	736.82	0.5
993	736.84	0.5
994	736.86	0.5
995	736.88	0.5
996	736.9	0.5
997	736.92	0.5
998	736.94	0.5
999	736.96	0.5
1000	736.98	0.5
1001	737	0.5
1002	737.02	0.5
1003	737.04	0.5
